,uniq_id,product_name,summary,review_text,reviewer,helpful,rating,sentiment
0,"B0000TG9E2:best_american_animated_film_ever:jason_d._fletcher_""xmuzik""","Alice in Wonderland (Masterpiece Edition): DVD: Kathryn Beaumont,Ed Wynn,Richard Haydn,Sterling Holloway,Jerry Colonna,Verna Felton,J. Pat O'Malley,Bill Thompson,Heather Angel,Joseph Kearns,Larry Grey,Queenie Leonard,Dink Trout,Doris Lloyd,James MacDonald (II),Bill Lee (IV),Thurl Ravenscroft,Max Smith,Bob Hamlin,Don Barclay,Wilfred Jackson,Clyde Geronimi,Hamilton Luske",Best American Animated Film Ever,If you don't own this dvd you need to add it to your collection. In my opinion it is the best american animated film ever released,"Jason D. Fletcher ""Xmuzik""",66,5,1
1,0783240295:the_bone_collector:lyuba,"The Bone Collector: DVD: Olivia Birkelund,Daniel Brochu,James Bulleit,Desmond Campbell,Bobby Cannavale,Frank Fontaine (II),Zena Grey,Luis Guzm�n,John Benjamin Hickey,Angelina Jolie,Queen Latifah,Mike McGlone,Ed O'Neill,Leland Orser,Michael Rooker,Gary Swanson,Christian Veliz,Denzel Washington,Richard Zeman",The Bone Collector,"Denzel Washington is great but Angelina Jolie he is even better. The movie itself is pretty scary, to tell you the truth it's not pleasant. There are some parts you don't really need to see. The plot of the movie is interesting and keeps you wondering what is gonna happen next. I recommend watching it with somebody, cause it's not pretty. But it's a good movie.",Lyuba,100,4,1
2,"B000BVM1UK:_a_gem!:l._tawney_""bookhaven""","The House of Eliott - Series 2: DVD: Barbara Jefford,Francesca Folan,Jamie Foreman,Richard Lintern,Diana Fairfax,Maggie Ollerenshaw,Toby Whithouse,Mark Kingston,Rachel Weaver,Robert Daws,Amanda Mealing,Phyllida Law,Kelly Hunter,Peter Birch,Geoffrey Whitehead,Bill Thomas (III),Melanie Ramsay,Jeremy Brudenell,Pippa Haywood,Lucy Aston,Richard Standeven,June Howson,Alex Kirby",a gem!,"I rediscovered this after a long time. This is a great series.I had never seen this in its entirety and look forward to seeing the third and fourth which I understand is not out yet.Its a gem, love the storyline and costumes.,so authentic looking and of the period,even the dialogue.I wish there were more of this genre","L. tawney ""bookhaven""",100,5,1
3,"B0000A98ZP:reminiscing.......:a_girl_""diana""","The Breakfast Club (High School Reunion Collection): DVD: Mary Christian,Perry Crawford,Ron Dean,Emilio Estevez,Tim Gamble,Fran Gargano,Paul Gleason,Anthony Michael Hall,Mercedes Hall,John Kapelos,Judd Nelson,Molly Ringwald,Ally Sheedy",Reminiscing.......,"I bought this movie for my coming of age daughter to watch with me.  I enjoyed it so much in high school and was not surprised that she did also. Times and styles may have changed, but I believe that teens still go through needing the sense of belonging as these teens in the movie did. Simple, but great movie.  My only regret is that it wasn't close captioned","A Girl ""Diana""",0,5,1
4,"B000H7JCKA:great_dreamworks_animated_movie!:sonic-fan_""john""","Over the Hedge (Full Screen): DVD: Bruce Willis,Garry Shandling,Steve Carell,Wanda Sykes,William Shatner,Nick Nolte,Thomas Haden Church,Allison Janney,Eugene Levy,Catherine O'Hara,Avril Lavigne,Omid Djalili,Sami Kirkpatrick,Shane Baumel,Madison Davenport,Zoe Randol,Jessica Di Cicco,Debra Wilson,Sean Bishop (III),Jeannie Elias,Karey Kirkpatrick,Tim Johnson",Great Dreamworks animated movie!,"R.J. The Raccoon (Bruce Willis) was just looking for something to eat as he stumbles into his bear friend's (Nick Nolte) cave and accidently destroys his food, he has an entire week to find almost every scrap of food for him or else he dies. He finds a family of animals (Gary Shandling, William Shatner, Wanda Sykes, Steve Carrell, Eugene Levy, Catherine O'Hara, Avril Lavigne) and uses them for his scheme to go over the large hedge near their territory to the suburbs where they steal food from the humans. Later on, the home-owner Gladys (Allison Janey) hires professional exterminator Dwayne (Thomas Hayden Church) to kill them but can RJ save his own life or his new friends's?

Extremely entertaining and fantastic CGI animated comedy from the makers of ""Shrek 1  2"", ""Antz"" and ""Madagscar"" Dreamworks provides great realistic CGI and laughs for everybody. There's also heart in this movie and shows the meaning of what it is like to have friends and be one's true self instead of being selfish! Steve Carrell's character Hammy the Squirrel steals the show here as the best character in the movie, it's a wonderful and hilarious movie that can be enjoyed by both kids and adults.

This DVD has some good extras like two sneek previews to ""Shrek 3"" and ""Bee-Movie"", audio commentary, behind-the-scenes featurette, VerneTech commercial, games, meet the cast featurette and gallery.

Highly recommended! the best Dreamworks animated movie since ""Shrek 1  2""","Sonic-Fan ""John""",100,5,1
5,"B000E6ESHQ:the_first_woman_in_the_workplace_film:movie_mania_""dvd_collector""","Nine to Five - Sexist, Egotistical, Lying Hypocritical Bigot Edition - Full Screen: DVD: Jane Fonda,Lily Tomlin,Dolly Parton,Dabney Coleman,Sterling Hayden,Elizabeth Wilson,Henry Jones,Lawrence Pressman,Marian Mercer,Ren Woods,Norma Donaldson,Roxanna Bonilla-Giannini,Peggy Pope,Richard Stahl,Ray Vitte,Edward Marshall,Alan Haufrect,Earl Boen,Jeffrey Douglas Thomas,Tom Tarpey,Colin Higgins",The First Woman in the Workplace Film,"9 to 5 was the first film to address the glass ceiling.  It takes a look at the workplace from a woman's view.

We first meet Violet (Lily Tomlin) who has been working for Consolidated Companies for 12 years and has been overlooked for most of them.  She trained her current boss and has the bruises to prove it.  Judy (Jane Fonda) is the new girl in the office.  She is a divorcee (he left her for his secretary) and has never worked for a living.  Rounding out the heroines is Doralee (Dolly Parton in the film debut). She is the personal secretary of Franklin Hart (Dabney Coleman) and everyone thinks she is ""banging the boss"".

But the fun starts when Violet is passed over for a promotion to a man she helped train.  She then blurts out that Hart has been spreading rumors that he's been having an affair with Doralee.  And an employee is fired for a small infraction. This sends the three women to the local bar to drown their sorrows and they bond.

Each comes up with their fantasy way of killing the boss.  Judy is a big game hunter with Hart as the prey.  Doralee plays role reversal and Hart ends up on a rotisserie spit.  But Violet wants it to be like a fairy tale where she is Snow White and the wicked witch and poisons Hart.

The next day, Violet accidentally poisons Hart's coffee.  When falls out of his chair and is knock unconscious, Violet thinks she killed him.  This leads to an all out comedy chase with Violet steals the wrong corpse.

The next day to the ladies surprise, Hart shows up.  The ladies regroup in the restroom but Roz overhears them and reports it to Hart.  Hart confronts the ladies but they wind up kidnapping him to find some incriminating evidence.  The find something but it is going to take some time to get the evidence.  Over the next six weeks the ladies run the office in Hart's absence.  Hart escapes but the ladies changes have brought notice and Hart is not above taking someone else's glory.

The subject matter here is very serious.  So to do it as a comedy is very daring and it works perfectly.  This is a film that many people identify with.  Everyone has had a boss or a teacher that oppressed them.  And this film is what we all would like to do to these oppressors.   You will laugh until it hurts.

DVD EXTRAS:
Commentary by producer Bruce Gilbert and stars Lily, Jane and Dolly

9 to 5 @ 25 - a 25 minute featurette with interviews with Gilbert, writer director Colin Higgins and stars Lily. Jane, Dolly and Dabney Coleman.

Deleted Scenes - 10 mostly expanded scenes or alternate takes.  The problem is without some kind of commentary we do not know why the scene was cut.","Movie Mania ""DVD Collector""",100,5,1
6,"B00006IUIP:great_reference:shamontiel_l._vaughn_""the_author_of_'change_for_a_twenty'""","The Freshest Kids - A History of the B-Boy: DVD: Frosty Freeze,Kool Herc,Mos Def,Crazy Legs,Fab Five Freddy,Afrika Bambaataa,Israel",Great reference,"I wanted to do a grad school paper on something I was interested in researching and I picked Hip-Hop. After working for an underground Hip-Hop magazine, I'd already familiarized myself with a lot of information that I was too young to understand (being born in '81).  I visited the University of Hip-Hop in Chicago, interviewed underground artists, and went to breaking shows in the Illinois area.  Although I thought I was very familiar with Hip-Hop, after working with this magazine, I realized I knew NOTHING.

So when I was given the chance to do my research paper, I knew that I would be able to learn even more than I already knew from working for the magazine.  I watched the three parts of ""Beef"" first and saw an ad for this movie in the Extras section.  Honestly, the first thing that caught my eye was how gorgeous Mr. Wiggles was...but then after fully watching the preview, I realized this was the PERFECT movie for me to find out more about breaking.

This movie documented the founding members, discussed the four elements of Hip-Hop, gave a lot of background information on Kool Herc and Grandmaster Flash, talked about the different techniques in breaking, the label ""breakdancing,"" the media's dilution of breaking, the first movies that breaking was showcased in, new breaking groups...just a bunch of ""firsts.""  It was a great reference for my paper, I enjoyed watching it, and I could watch it over and over again.  I have a lot of respect for the founders because without them, headz wouldn't have this beautiful culture to express ourselves physically, mentally, and verbally","Shamontiel L. Vaughn ""the author of 'Change for a Twenty'""",100,5,1
7,"B00002CGGH:hilarious_exciting_fast_paced_fun_film_-__must_see:suzanne_joy_""deeksha_doer""","Better Than Chocolate: DVD: Wendy Crewson,Karyn Dwyer,Christina Cox,Ann-Marie MacDonald,Marya Delver,Kevin Mundy,Tony Nappo,Jay Brazeau,Beatrice Zeilanger,Peter Outerbridge,Gerald Varga,Robert Parent (II),Corrine Koslo,Veena Sood,Tony Marr,Colleen Wheeler,Jennifer Griffin (II),A.J. Bond,Anne Wheeler",Hilarious Exciting Fast Paced Fun Film -  Must See,"Honestly, I wasn't certain about this film, in fact, at first I actually believed it was related to ""Chocolate.""   I was terribly wrong yet most pleasantly surprised.  Upon first viewing, I did not laugh as much as the second time.  Yes, I tend to watch a film twice for I know we miss much the first time with our opinions and own theories.  I can be more relaxed and open minded the second time.  Second viewing was a belly full of laughter.

This is the best lesbian comedy I have ever seen.  The acting was wonderful and the film was fast paced.  Now that I decided that this film is exceptional, it was time to put it to the test on others (mostly women 20's - 80's years, some men.)  Each person I shared this film with, either loaning it or viewing it together, all responded similarly: ""This is a hysterically funny film.""

What is even more amazing is the brief allotted time the director accomplished in completing the filming process - about twenty-two days. Congratulations, sometimes a tight budget can produce a true work of art.  Many short films I have seen on the ""Spiritual Cinema Circle"" also have numerous low budget wonderful productions.  Hoorah for the film art genius.

I applaud the entire talented cast and crew, especially actress, Christine Cox, her performance was exceptionally wonderful.  I would like to see her in more comedies...she's a natural.  I fell ""in love with her"" and I am straight gal, as are all of the actresses except for Frances.

A must see funny film.  I always wondered why the comedy male gay films always had that edge of humor when the lesbian films appeared more serious.  We need more films that are as pleasurable and diversified as ""Better Than Chocolate"".  Thanks bunches.","Suzanne Joy ""deeksha doer""",100,5,1
8,B000GFLKF8:incredible_movie_for_guys!:r._copple,"Inside Man (Widescreen Edition): DVD: Denzel Washington,Clive Owen,Jodie Foster,Christopher Plummer,Willem Dafoe,Chiwetel Ejiofor,Carlos Andr�s G�mez,Kim Director,James Ransone,Bernie Rachelle,Peter Gerety,Victor Colicchio,Cassandra Freeman,Peter Frechette,Gerry Vichi,Waris Ahluwalia,Rafael Osorio,Rodney 'Bear' Jackson,Daryl Mitchell,Ashlie Atkinson,Spike Lee",Incredible movie for guys!,"If you like action, shooting, explosions, fire, pain, torture and revenge, this is a movie you'll love.  And, it stars one of the best actors in the world who is completely believeable in this role.  A great storyline with intriguing twists plus situations and settings that are very close to reality.",R. Copple,0,5,1
9,"0767811070:john_singleton_kept_it_real.:young_keon_""ykeon11""","Boyz 'N the Hood: DVD: Hudhail Al-Amir,Lloyd Avery II,Angela Bassett,Mia Bell,Lexie Bigham,Kenneth A. Brown,Nicole Brown,Ceal,Morris Chestnut,Darneicea Corley,John Cothran Jr.,Ice Cube,Na'Blonka Durden,Susan Falcon,Tyra Ferrell,Laurence Fishburne,Cuba Gooding Jr.,Desi Arnez Hines II,Nia Long",john singleton kept it real.,he kept it real thats all i can say. aw yeah those people talkin bout its too much cussin. what u expect im from the hood and every other word i say is a cuss word. i just cant help it. everybody in the hood cusses. but anyways..,"young keon ""ykeon11""",25,5,1
