,uniq_id,product_name,summary,review_text,reviewer,helpful,rating,sentiment
0,B00006HYUB:breif_review:scott_park,APC Back-UPS ES 500 Backup Battery and Surge Protector: Electronics,Breif Review,"I ordered 3 APC Back-UPS ES 500s on the recommendation of an employee of mine who used to work at APC. I've had them for about a month now without any problems. They've functioned properly through a few unexpected power interruptions. I'll gladly order more if the need arises.

Pros:
 - Large plug spacing, good for power adapters
 - Simple design
 - Long cord

Cons:
 - No line conditioning (usually an expensive option",Scott Park,91,5,1
1,"B00006HYUB:works_fine.:dee_richards_""deeanalyst""",APC Back-UPS ES 500 Backup Battery and Surge Protector: Electronics,Works fine.,"Wish the unit had a separate online/offline light.  When power to the unit is missing, the single red light turns off only when the warning sounds.  The warning sound is like a lot of sounds you hear in the house so it isn't always easy to tell what is happening","Dee Richards ""deeanalyst""",0,4,1
2,"B000067VBM:affordable_and_effective:jason_dickson_""needs_more_money""",50-pack Slim CD/DVD Jewel Cases (5mm) Clear: Electronics,Affordable and effective,"Cheaper than thick CD cases and less prone to breakage, these ""slim"" cases by Memorex protect your CDs. Most buyers will get them  for use in CD or DVD burning, and these are an affordable choice from a quality company for that purpose.

You may want to consider larger cases depending on your tastes, but otherwise these will probably satisfy your needs","Jason Dickson ""Needs More Money""",100,5,1
3,B00008SCFU:it_is_a_good_product_:kiran_k._singarapu,Kingston 256 MB Secure Digital Card ( SD/256 ): Electronics,It is a good product,"Hi

I brought 256 MB Kingston SD card from Amazon.com recently. According to my openion Amazon is one of the best online shopping market, they deliver the products intime and the items i brought so far are working very well. 256 MB Kingston SD card working very good with out giving any problem. 
One can always go to Amazon for online shopping.
bye
kira",Kiran K. Singarapu,0,5,1
4,B0007P4G76:perfect:r._johnson,Xtreme TB264DKO 264-Disc CD/DVD Case: Electronics,perfect,"This product was perfect. it's a sturdy case that holds my large collection of cd's and dvd's.

My other cases were flimsy and wore out fast. This one has a hard outside shell and the inside holds my dvd's nicely.

So i have no complaints. and at the price i paid i'd say this was a great deal",R. Johnson,33,5,1
5,B0000DK3I4:kingston_1gb_sd_card_review:eugene_ong,Kingston 512 MB Secure Digital Card (SD/512): Electronics,Kingston 1GB SD Card Review,Great value for your money. Kingston has always been a reliable memory chip company and the same goes for this product.,Eugene Ong,100,5,1
6,"B0000DK3I4:very_good_sd_card:gabriel_gore_""geebi""",Kingston 512 MB Secure Digital Card (SD/512): Electronics,Very good SD Card,"I like it very much, I use it in an outdoor trail camera for wild game and it hold several pictures and has been in the camera in all kinds of weather. I would buy Kingston again","Gabriel Gore ""geebi""",0,5,1
7,B0002MSTWC:flash_card:allen_l._mccartney,Lexar Media 512 MB 80x Pro Series Compact Flash Card (CF512-80-380): Electronics,Flash Card,"I had no problems with this card and the delivery was prompt...

Thank You Muc",Allen L. Mccartney,0,5,1
8,B0002MSTWC:works_great_for_me!:robert_farlee,Lexar Media 512 MB 80x Pro Series Compact Flash Card (CF512-80-380): Electronics,Works great for me!,"After going through the reviews, I bought this CF card for my Canon Digital Rebel. So far it has worked fine, though I don't pretend to be an expert digital photographer. When the card is empty, it shows 127 shots available. It seems to read reasonably fast, though it takes a bit longer than I was used to with my point-and-shoot Olympus and its SmartMedia card.",Robert Farlee,0,5,1
9,B0006G0RSI:good_little_speakers!:folsom_mom,Altec Lansing inMotion iM3 - Portable speakers - 4 Watt (total): Electronics,Good little speakers!,"I am very happy with this product. It folds super slim, so traveling with it is a breeze! Pretty good sound - not Bose quality, but for the price, very respectable! I've had it almost a year, and it has been along on many weekend get-aways, and works great. I use it alot, so it was a good purchase for me",Folsom Mom,100,4,1
10,B0006ZSW1S:excellent_option_to_avoid_camera_cables:k._koesling,"Kodak 8 - in - 1  Multi-card Reader, KRW8IN1SCS: Electronics",Excellent option to avoid camera cables,"I bought this reader because I wanted to avoid having my camera and all its cable attached to my pc to download the pictures; and with this reader I could leave my camera (and its cables) in its case and just download the picture with the memory card, I recomend this product....",K. Koesling,0,5,1
11,B0001DI6FW:does_the_job:ks,Targus PAUH212U 7 Port USB 2.0 Hub: Electronics,Does the job,"It's a simple device, so there's not to say about it other than it does the job. You should note that the LEDs on the device remain lit as long as the device is plugged into your PC and the PC is powered (they glow a bright blue).",ks,66,5,1
12,"B0000CD08M:great_product:h._knox_""h._knox""",SanDisk SDCFH-512-901 512 MB Ultra II CompactFlash Card (Retail Package): Electronics,Great Product,"I was thinking about buying a 1G card, but after reading one of the reviews,I bought two 512 card,just in case that something
went wrong. Which to me made a lot of sense. I'm please","H. Knox ""H. Knox""",0,5,1
13,"B0000CD08M:a_sandisk_fan:audra_m._fischenich_""miranda1776""",SanDisk SDCFH-512-901 512 MB Ultra II CompactFlash Card (Retail Package): Electronics,A SanDisk Fan,I have always been very pleased with the SanDisk products. I would highly recommend them,"Audra M. Fischenich ""Miranda1776""",14,5,1
14,B000BKE8QQ:almost_perfect:shawn_fitzgibbons,Altec Lansing inMotion iM716 Headphones: Electronics,Almost perfect,"These earphones are great quality. The sound is good and they fit comfortably in the ear once you get used to them. Two minuses make them only 4 out of 5 stars: first, the customer support is weak. There is supposed to be a website for the product for customer support and replacement parts, but Altec Lansing his it linked to a seemingly unrelated product; second, the volume control is a little heavy unless you have somewhere to clip it to (this might be a problem for runners)",Shawn Fitzgibbons,0,4,1
15,"B0002MSTW2:fast_reader/writer_:shawn_m._matheson_""smatheso""",Lexar Media 1 GB 80x Pro Series Compact Flash Card (CF1GB-80-380): Electronics,Fast Reader/Writer,This CF card is so fast that I can run my shutter on my camera non stop until the card is full at a frame rate of 3.5 fps. No lag or slow down. That is amazing. It makes my camera perform better. (Canon Rebel XT,"Shawn M. Matheson ""smatheso""",90,5,1
16,B00083XXZS:sandisk_2_gb_ultra_ii_memory_stick_pro_duo:l._m._kasik,SanDisk 2 GB Ultra II Memory Stick PRO Duo: Electronics,SanDisk 2 GB Ultra II Memory Stick Pro Duo,fast and reliable..well worth the mone,L. M. Kasik,100,5,1
17,B00083XXZS:big_&_fast!:ikesingle,SanDisk 2 GB Ultra II Memory Stick PRO Duo: Electronics,Big & Fast!,"Perhaps the ultimate addition to a good camera. I used my camera with a SanDisk Pro Duo (the blue one...) and while most times it was fine, when I needed to take pictures in quick succession - it let me down. The Ultra II is noticably faster. You will not regret buying this",iKESingle,100,5,1
18,"B00016L0VQ:not_the_right_item:charles_w._fain_""chuck""","Sandisk 512 MB Secure Digital Ultra II (SDSDH-512-901, Retail Package): Electronics",Not the Right Item,"The Sandisk 512 MB Secure Digitial Ultra II (SDSDH-512-901) sent to me was not the item I ordered.  I returned the item, unopened","Charles W. Fain ""Chuck""",0,5,1
19,"B00065AO0K:nice_product,_does_the_job_nicely_._._.:jennifer_l._heupel_""dvd_fan""",SanDisk SDSDH-1024-901 1 GB Ultra II Secure Digital Memory Card (Retail Package): Electronics,"Nice product, does the job nicely . . .","definitely recommend this memory card, download time is great . .","Jennifer L. Heupel ""DVD Fan""",0,5,1
20,"B00065AO0K:fast,_really_faster_than_my_old_ones:bill_""bill""",SanDisk SDSDH-1024-901 1 GB Ultra II Secure Digital Memory Card (Retail Package): Electronics,"fast, really faster than my old ones","I am happy to have several Sandisk products, and all of them are excellent.","Bill ""Bill""",0,5,1
21,B00065AO0K:the_perfect_add_on_for_your_camera:pamela_deshazo,SanDisk SDSDH-1024-901 1 GB Ultra II Secure Digital Memory Card (Retail Package): Electronics,The Perfect Add On For Your Camera,The SanDisk SDSDH-1024-901 is absoultely worth the extra money if you love to take many pictures without worrying about how many pictures are left for you to take. It is great to use with mini-videos if your camera has this feature,Pamela DeShazo,0,5,1
22,B0000B3AKR:cheap_option:b._finzi,Viking USB00512L2 512 MB USB 2.0 Portable Mini Flash Memory Device: Electronics,Cheap option,The cheapest option I found at the time but an excelent pen drive. Small and with a good style,B. Finzi,0,5,1
23,"B0000B3AKR:it's_great,_but_has_one_small_problem.:t._domingo",Viking USB00512L2 512 MB USB 2.0 Portable Mini Flash Memory Device: Electronics,"it's great, but has one small problem.","It works great!  I really like it.  There is one small problem though.  The lid is REALLY hard to take off!  I've had it now for about a month and have gotten lots of use out of it and it has loosened up a little, but not much.  There has got to be a way to make a lid that stays on, but isn't quite so hard to remove when a person wants to use it.  I appreciate being provided with a forum to voice my opinion",T. Domingo,0,4,1
24,B00064V6R6:card_reader:c._legarra,SanDisk CF Type I/II ImageMate USB 2.0 Reader/Writer (Model SDDR-92-A15): Electronics,Card Reader,Works well with or without software installed.  Good for home use and school or traveling.,C. Legarra,100,4,1
25,B000BBCTHU:wish_i_had_gotten_a_bigger_one!:a._hart,Wacom Graphire4 4x5 USB Tablet (Silver): Electronics,wish I had gotten a bigger one!,This technically works well.  I am finding learning to use it difficult.  I really wish I had spent a little more and gotten a bigger one!!!!!  It is a lot smaller than I thought it would be and would be alot easier if it was bigger,A. Hart,0,4,1
26,B000BBCTHU:excellent_beginners_tablet:4nr,Wacom Graphire4 4x5 USB Tablet (Silver): Electronics,Excellent beginners tablet,"I was considering purchasing a tablet and Wacom was consistantly recommended.  I was originally hesitant to buy the graphire line because I didnt think it would be very good for drawing compared to the top line (the intuos line).  I was pleasantly surprised to be proven wrong.  Installing a driver was a piece of cake and I began drawing away in minutes.  It is very responsive and works with all my drawing programs (paintshop pro, painter, photoshop).  The mouse is pretty useless however, and I would have preferred if they had included some extra pen tips instead (they seem to wear out, though I do press pretty hard).  Other than that, its an amazing product",4nR,100,5,1
27,B00070QI1S:kingston_1gb_sd_card_review:eugene_ong,Kingston 512MB Elite Pro Secure Digital Memory Card ( SD/512-S ): Electronics,Kingston 1GB SD Card Review,Great value for your money. Kingston has always been a reliable memory chip company and the same goes for this product.,Eugene Ong,100,5,1
28,"B0002IWC9C:great:p._valbuena_""paulty""",Sony BCG-34HE4 Super-Quick Worldwide Battery Charger with 4 AA NiMH Batteries: Electronics,great,"Great batteries for cameras. They charge quickly, and it's handy to keep the extra 2 spare in the charger and with me all the time ""just in case""","P. Valbuena ""paulty""",0,5,1
