,uniq_id,product_name,summary,review_text,reviewer,helpful,rating,sentiment
0,B000634GCO:no_more_doggy_fueds_with_neighbor:e._patterson,Stationary Bark Control by Petsafe: Kitchen & Housewares,no more doggy fueds with neighbor,"i absolutely love this product. my neighbor has four little yippers and my shepard/chow mix was antogonized by the yipping on our side of the fence. I hung the device on my side of the fence and the noise keeps the neighbors dog from picking ""arguments"" with my dog. all barking and fighting has ceased. all the surrounding neighbor as well as me can get a good nights sleep now",E. Patterson,100,5,1
1,B0006PK1D0:worked_for_us:gadget_mom,Reporter WireFree Intercom System: Kitchen & Housewares,Worked for us,"I purchased 3 units and they work well for us.  I have 2 units in children's bedrooms on AC power and the 3rd in the kitchen on batteries for portability.  The sound is clear and set-up and use is very easy.  The best thing about these units is the VOX answer option.  I have this option turned on in the kid's room and they merely have to answer back when I talk to them first without having to push the ""talk"" button.  This is very handy when you are talking to a 3 yr. old that doesn't quite understand how to use this.  I attached a large, very thin magnet on the back of my kitchen unit and I keep it on my fridge; but can bring it with me to other parts of the house if necessary.  The only small annoying feature is every time the ""talk"" button is pressed, a beep occurs.  But the other features outweight that small annoyance for me",Gadget Mom,0,4,1
2,B00009K3V1:new_fry-guy_-_pretty_pleased....:brian_w._hodgman,"Waring DF200 Professional Deep Fryer, Brushed Stainless Steel: Kitchen & Housewares",New Fry-guy - pretty pleased....,"I've always wanted a deep fryer, and finally decided to take the plunge.  After doing quite a bit of research, I decided on this model - picked one up at Bed, Bath, and Beyond with a 20% coupon.  In my opinion, you generally get what you pay for - so the extra cost vs. competitors wasn't a real concern. 

I must say, overall, I am quite pleased. While I am new to frying, I found it extraordinarily easy (it is pretty hot though, so be careful).  Only complaint would be that the capacity is a  little on the small side, say if you're cooking entrees for a larger family (for example, you can really only fit 3 (MAYBE 4) pieces of chicken at a time).  But since the chicken needs to cool down anyway, this wasn't such a major issue.  It came out nice, crispy, and golden brown - not too soggy, not too crisp - perfect.  

I figure if it can handle the chicken, vegetables and smaller portions will be a piece of cake.  Although I've only fried a couple of batches, I am beyond pleased - but I'll let you know if I have any problems...  Great item so far though.",Brian W. Hodgman,88,4,1
3,"B00009K3V1:excellent_fryer:j._white_""janinenc""","Waring DF200 Professional Deep Fryer, Brushed Stainless Steel: Kitchen & Housewares",Excellent fryer,"Easy to use, easy to clean. Two major requirements for a kitchen appliance for me to be happy. This thing is easier to clean than my old George Foreman Grill (and that to me was a pain in the neck). The only time it can be a little messy is when you change the oil, which I do every 2 to 3 weeks depending on how much I've used it and what I've cooked. If I'm doing just veggies, I keep the oil. If I do a meat or seafood, I'll change the oil right after. 
Very pleased overall.","J. White ""janinenc""",100,5,1
4,"B00005OL44:best._knife._ever.:stephen_green_""vodkapundit.com""",Global 8-Inch Chef's Knife: Kitchen & Housewares,Best. Knife. Ever.,"I've been a German knife snob for years.  But this 8-inch chef's knife by Japan's Global is the finest blade I've ever owned.  Period.

Maybe it's not as easy to sharpen as a Wustof or a Henckel, but then again, it holds its edge ten times longer.

I've spent ten years and hundreds (and hundreds and hundreds!) of dollars collecting German steel.  Global is so good that it has me thinking of starting all over again","Stephen Green ""VodkaPundit.com""",100,5,1
5,B0001P73VI:absolutely_great:e._maddox,"Zelco ""itty bitty"" Book Light, LED Edition: Kitchen & Housewares",Absolutely great,"I have a number of booklites, different vendors, different styles, some AC adapter, some straight battery, cheap to higher prices, and this one is the best, the brightest, the one I will most often use.  It is connected to adapter and kept near computerat all times.  I am careful with such items, don't expect any problems, most booklites are not meant to be manhandled",E. Maddox,66,5,1
6,B0002AL6VK:great_products:t._luong,Zymox Otic With 1.0% Hydrocortisone 1.25 Oz Bottle: Kitchen & Housewares,great products,used vet's RX to treat my dog's ear and it didnt seem to work. After reading reviews I decided to try this . After only 1 week I noticed a considerable amount of change in her ears for the better. would recommend to others,T. Luong,100,5,1
7,B0002MH3M4:i_love_this_processor:marilee_berzins,"KitchenAid KFPW760OB 700-Watt 12-Cup Food Processor, Onyx Black: Kitchen & Housewares",I love this processor,"I was so thrilled when I unpacked my processor.  It is  so high quality and professional in both looks and performance.  It has so many features that I love, especially the triple bowl which allows you to process more than one substance at a time.  The egg beater attachment is excellent also.  I am one happy customer and recommend this processor to all",Marilee Berzins,100,5,1
8,B0002MH3M4:excellent_product_and_transaction:s._shank,"KitchenAid KFPW760OB 700-Watt 12-Cup Food Processor, Onyx Black: Kitchen & Housewares",Excellent Product and Transaction,"The KitchenAid KFPW760 is exactly as advertised. It has three nested work bowls. The inner, smallest one takes a special blade (a smaller version of the standard processor blade). It's perfect for pulverizing/mixing small quantities of things. Pulling the used bowl out leaves the next one ready for use without having to stop and clean something. The same is true for the next one until you reach the largest, 12 cup bowl.

A number of blades come in a well designed transparent and strong storage box (finally, a way to keep everything together). The unit even has with a fruit juicer accessory that replaces the bowl. It's the kind with the rotating hub (two hub sizes are included, one for lemons and a larger one for oranges, etc). While it seems to work, it's not as convenient as a low cost dedicated version such as the Black & Decker, but what the heck, it's worth trying.

The motor is quiet and you get a real feeling of professionalism when using it. At first I was disappointed that there weren't any fancy front panel switch options, but after thinking about it, you only need the provided On, Off and Pulse.

Would I buy it again? Absolutely. Would I buy it again from Amazon? Again, absolutely. The transaction was without difficulty and the shipment actually came earlier than promised",S. Shank,100,5,1
9,"B00005OU23:close_to_perfect_bookcase:arlene_herring_""ekelks""",Mission Folding Bookcase &#45; Natural: Kitchen & Housewares,Close to Perfect Bookcase,"I love this bookcase. My only problem with it is that the bottom right side slat of wood arrived split (a bit), but it still fit together, so I kept it (excuse the rhymes, please). It's amazing that despite being somewhat broken it still holds 60 books, including some big heavy hardcovers, 20 DVDs, 3 DVD box sets, 12 videotapes, and a few pictures and knicknacks. And yet it takes up hardly any space in my tiny bedroom. Best part: the ease with which you can put it together. I have MS, so being able to put furniture together by myself is a very big deal. Highly recommended","Arlene Herring ""ekelks""",0,5,1
