,uniq_id,product_name,summary,review_text,reviewer,helpful,rating,sentiment
0,B0000CBXZA:only_the_french_can_make_movies_like_this:dennis_littrell,"The Housekeeper: DVD: Jean-Pierre Bacri,�milie Dequenne,Brigitte Catillon,Jacques Frantz,Axelle Abbadie,Catherine Breillat,Apollinaire Louis-Philippe Dogue,Amalric G�rard,Pierre Michelot,Laurence Colussi,Daniel Humair,Abel Nahmias,Ren� Urtreger,Xavier Maly,Nathalie Boutefeu,Djura,Claude Berri",Only the French can make movies like this,"I almost gave up on this one forty minutes in.  Don't you do that.  The ending is superb.

Premise: working class girl gets dumped by her boyfriend and seeks work by housekeeping.

Well, that can lead to something better if you keep house for the right person.

Jacques (Jean-Pierre Bacri) who recently got walked out on by his wife, and who, not so incidentally looks sixty--well, fifty-five--(actually he was barely fifty when this was made, but you get the point) gets his ad for a housekeeper answered by Laura (Emilie Dequenne) who is twentysomething--a young twentysomething.

I guess there is not much else to say, and to be honest I decided I would force myself to watch the inevitable.  But the director is Claude Berri who directed two of the best movies I ever saw: Manon of the Spring (1986) and Jean De Florette (1986).

And so I stayed with it.  At about the fifty minute mark the movie started to get interesting.  I could feel that old guy/young girl love affair was going to take an unexpected fork in the road.  (As Yogi said, if you come to a fork in the road, take it.  The players have no choice.)  Obviously, old guy/young girl can end only one way: young girl leaves old guy for young guy.  This is biology.  It will be painful.

Claude Berri knows all this, and probably a lot better than I do.  And so guess what?

Well, I won't tell.  But you will find that the last thirty-some minutes of this sexy romantic comedy delightful, and especially the very, very clever and most satisfying ending.

Just prior to that Laura asks Jacques for his blessing.  He won't give it, but she is right: he should.  And then when we get the final ""life is so...lifelike"" grimace on Jacques's face, we can only smile.

Emilie Dequenne is delightful as the strangely wise and very natural Laura, and Jean-Pierre Bacri is winning as the old guy who knows better, but on reflection should thank his lucky stars",Dennis Littrell,80,4,1
1,B000089QF3:femme_fatales_or_very_lame?:film_noir_fedora,"8 femmes: DVD: Fran�ois Ozon,Danielle Darrieux,Catherine Deneuve,Isabelle Huppert,Emmanuelle B�art,Fanny Ardant,Virginie Ledoyen,Ludivine Sagnier,Firmine Richard,Dominique Lamure",Femme Fatales or Very Lame?,"Terrible direction, terrible writing, it almost feels like the director didn't know what he was working with. Although this movie wanted to be in the same race and quality of the movie CLUE, it fails to realize that the plot and characters are incredibly riculous and not funny ha ha but funny stupid. It was a total watse of good celluloid",Film Noir Fedora,7,1,0
2,B000085EFC:boring:joan_ridgeway,Pilates Complete for Everyone: DVD: Pilates Complete for Everyone,BORING,"i practically fell asleep while watching this tape, the girl doing the exercises isnt even saying anything while shes doing it. Its a voice over! also shes all alone in a blank room. All the exercises are basically the same. I would suggest Mtv Pilates. Its a lot more fun",Joan Ridgeway,0,1,0
3,0767812166:starman:hattie_shepherd,"Starman: DVD: Karen Allen,Russ Benning,Dirk Blocker,Jeff Bridges,Ralph Cosham,Alex Daniels,John Walter Davis,James Deeth,Tony Edwards,George 'Buck' Flower,M.C. Gainey,Anthony Grumbach,Richard Jaeckel,Robert Phalen,Carol Rosenthal,Charles Martin Smith,Sean Stanek,David Wells,Ted White",Starman,"Wonderful to find in the sale just as my tape was wearing out.Delightful movie,well acted by all but especially wonderful performance by Bridges as the human/alien hybrid.A superb print too.Thanks Amazon - you did it again",Hattie Shepherd,0,4,1
4,B00005N8AP:this_dvd_kicks_your_butt!:none,The Science of Fitness with Tamilee - I Want That Body!: DVD: Tamilee Webb,This DVD kicks your butt!,"I've been doing this DVD workout for two years, and I still can't make it all the way through the ""level 2"" workouts.  This video is incredibly challenging, but I like that I can do the ""level 1"" workouts and have the goal of making it to the next level one day.  No other DVD can accomplish what Tamilee does in 15 minutes.  This really makes me value how efficient she is at giving you exercises that are really challenging and in a short amount of time.  I am always sore the next day when I do her workouts.  This is a great DVD",none,0,5,1
5,B000HRMAPO:it's_fantastic!!!!!:i._saucedo,"Nacho Libre (Widescreen Special Collector's Edition): DVD: Jack Black,Ana de la Reguera,H�ctor Jim�nez,Darius Rose,Moises Arias,Eduardo G�mez (IV),Carlos Maycotte,Richard Montoya,Cesar Gonzalez,Rafael Montalvo,Julio Sandoval,Enrique Mu�oz,Carla Jimenez,Agust�n Rey,Troy Gentile,Julio Escalero,Peter Stormare,Lauro Chartrand,Filiberto Estrella,Jorge Vald�s Garc�a,Jared Hess",IT'S FANTASTIC!!!!!,"Its been a long time since I have laughed this much!!!! Getting down to ""the nitty gritty"" it is an enjoyable comedy.  The chemistry between Jack Black ""Nacho"" and Hector Jimenez ""Esqueleto"" is what makes the movie so funny. His accent was not Mexican but very funny. My family and I just loved the movie, which I think we have seen 5 times in the theatre",I. Saucedo,100,4,1
6,B0000844LI:a_waste_of_time_and_money:p._hall,"Modulations: Cinema for the Ear: DVD: Iara Lee,DJ Spooky,Karlheinz Stockhausen,Robert Moog,Derrick May,Rob Playford,David Kristian,Carl Cox,Genesis P-Orridge,Danny Tenaglia,Afrika Bambaataa,Arthur Baker,Moby",A waste of time and money,"A poorly-conceived, poorly put together mess.  Dont bother",P. Hall,11,1,0
7,B000056BB4:plot_holes:terran_terran,"Gossip: DVD: James Marsden,Lena Headey,Norman Reedus,Kate Hudson,Eric Bogosian,Edward James Olmos,Joshua Jackson,Sharon Lawrence,Marisa Coughlan,Kwok-Wing Leung,Mif,Poe,Vicky Lambert,Kenya Massey,Noam Jenkins,Stephanie Mills,Raven Dauda,Kristin Booth,Novie Edwards,Shanly Trinidad,Davis Guggenheim",plot holes,"The first half hour of this 90 minute movie is actually quite good.  In fact, it is enthralling and has an interesting twist in that we dont know the real fact behind whether a young woman was violated by her boyfriend while unconscious.  According to the rumor (the rumor being a school experiment conducted by three roommates) she was, however, but we the audience dont know that.  However, the young woman is quick to think she has been raped.  Why there is no attempt at a physical exam, is unexplained, especially since the young woman involved has the reputation of being a professional virgin, however it turns out she isnt, so thats why the movie lasts longer than 30 minutes.  Fortunately, were not dealing with unwanted pregnancies, either, so this doesnt turn into a soap opera.  However, we do have the dreamboat hero who dreams up the rumor about her being raped, and who exhibits unlikeable traits throughout. But thats true of the three leads - the roommates are all unlikeable, being insufferably full of themselves.  The last half of the film, dreamboat takes the turn as lead character, and its his story were following, whereas his female roommate had the first half of the film, and basically its her introduction to the audience of all the characters. Turns out dreamboat and the young woman victim have a history together; which means issues they have to work out, and everyone else (in a way, the entire student body and its faculty and local law enforcement) is sucked into their story and mutual thirst for truth, though the characters dont have the same truth in mind - its about vengeance; not justice.  And vengeance when its not the comic book variety, isnt fun for an audience, its just distasteful.  In other words, the man and woman should have been shut up together in a room so they could have worked it out for themselves, and left the rest of us alone.  So from a brilliant first half-hour - and btw how does the roommate penniless art student have the dollars for all that tech equipment? - we degenerate into a constantly weaving pattern of lies and deceptions that seems more pointless than clever.  There is merely too much story, so it becomes ridiculous.  A basically good premise is ruined.  If you are a fan of any of the stars involved, it might be worth viewing, if only once, but the film as a whole will probably leave a vile taste in your mouth.  Perhaps thats the ultimate message on a film about the dangers of spreading GOSSIP, or in this case deliberate lies, is that what goes around comes around, and also it will leave you feeling sick to your stomach.  I almost recommend you watch the first 30-45 min then quit midway, but anyone will watch all the way thru at least once, just to be sure where this is headed",Terran Terran,50,2,0
8,B00005QFE5:is_this_chinese_film_only_in_french?:wallace_smith_tn435,"The Road Home: DVD: Ziyi Zhang,Honglei Sun,Hao Zheng,Yulian Zhao,Bin Li,Guifa Chang,Wencheng Sung,Qi Liu,Bo Ji,Zhongxi Zhang,Yimou Zhang",Is this Chinese film only in French?,"I am confused - Does anyone know who owns this DVD whether this chinese film The Road Home is in FRENCH AUDIO ONLY for this Sony dvd? Its not in Mandarin, Cantonese or any other chinese dialect? The answer will determine whether I buy it or not.",Wallace Smith TN435,16,1,0
9,"B000B8ISOQ:a_blossoming_career_deserves_a_better_production_than_this:blee_""bpslee""",Yundi Li: Live in Concert: DVD: Yundi Li,A Blossoming Career Deserves A Better Production Than This,"Li is no heavy-weight pianist. Neither is Bunin or even Zimerman. And don't foeget that Chopin himself weighed less than a hundred pounds after all. And judging from the steam and progess Li has made, Lang Lang's position is certainly under threat. And any viewer who is interested in Li or how Chinese pianists nowadays are doing should perhaps go for this-- here we have to thank Martha for doing a good job in picking him as the winner of the Chopin Competition. Now in his mid-twenties, and musically out of almost nowhere, Li is already a full fledged musician.

Of course, viewers should not compare him with Arrau's fine balance between the extreme high and rather low register; or his scales with Richter's.  This is not fair, for Arrau and Richter are such great artists. Li is already so close to Zimerman now.

Furthermore, what we hear may have more to do with the accoustics of the hall, something which has more to do with the engineers than the performer himself. And I say so because I'm a bit concerned about the quality of the picture of this DVD. It appears to me more like a VCD than DVD production (or somewhere in between): it is slightly below average DG production and the camerawork is also average only. This is obviously not fair to a blossoming career that Li is now having. One star is taken for want of a better production.","BLee ""bpslee""",52,4,1
