,uniq_id,product_name,summary,review_text,reviewer,helpful,rating,sentiment
0,B000CPZXGO:disappointing:dave_in_kansas,Cuisinart GR-1 Griddler Panini and Sandwich Press: Kitchen & Housewares,Disappointing,This press doesn't seem to work well.  The top browns much more quickly than the bottom.  Clean up isn't all that easy.  I was surprised by how small the grill surface was,Dave in Kansas,100,1,0
1,"B0000VCXR2:too_damned_purple!_(aubergine):j._stein_""tech_buddy""","Chantal 48-Ounce Tea Steep, White: Kitchen & Housewares",Too damned purple! (Aubergine),"This is NOT Aubergine, a dark purple like the color of eggplant skin, but it is a light, bright purple. Sitting on my kitchen countertop, it is a very formidable sight first thing in the morning; glowing, shimmering in kitchen flourescent lighting. Caveat emptor, unless you're color blind or really like bright purple","J. Stein ""Tech Buddy""",33,1,0
2,B000CDHOKY:need_to_iron_it:s._patel_garfield,"250-Thread-Count 100% Cotton Sateen Multi Stripe Queen Sheet Set, White: Kitchen  Housewares",Need to iron it,"Good for the price, I wish it didnt get crumbled...and was wrinklefree",S. Patel Garfield,0,4,1
3,"B0000DI5G7:it_is_really_great_product:haranadh_b._kanumuri_""babu""",CorningWare French White 12-Piece Gift Bake and Serve Set: Kitchen & Housewares,It is really great product,I like the amazon customer service as they replaced my order when I got the damaged one,"Haranadh B. Kanumuri ""Babu""",100,4,1
4,B00005B6Z0:big_disappointment:lifemom,Salton LM8 Lemonader! Lemonade Maker: Kitchen & Housewares,Big disappointment,"We were so looking forward to fresh lemondade. The moment the Salton arrived we opened the box, pulled out the lemons we had bought in anticipation and began juicing. On the 5'th lemon the gears stripped and the juicer no longer turned when applying even the slightest amount of pressure to the lemon. We were all very disappoined, my 5 kids and I : ( I had hoped for better after reading the great reviews written by some of the others.",lifemom,100,1,0
5,B0001MXU68:fantastic:victoria_a._larson,"Melitta MES2B OneOne Single Serve Coffeemaker, Black: Kitchen & Housewares",Fantastic,"This is a perfect machine for the office. It takes up very little space,is very simple to use, cleaning is a breeze.
You can fill the water tank so that water is ready when you are for a cup of delicious coffee.
I purchased this coffee maker for my husband's office and for my wallet.
In his building there is a coffee shop but at $[...] a cup and time away from the desk 1 half hour per cup this was an expensive habit.
The Melitta paid for itself in a few days. You can't go wrong with this produc",Victoria A. Larson,100,5,1
6,B00026D0YU:love_the_plates_but_they_arrived_scratched:t._serefko,"Fiesta Scarlet 830 5-Piece Dinnerware Place Setting, Service for 1: Kitchen  Housewares",Love the plates but they arrived scratched,Im sticking with the lighter colors due to scratching.  My persimmon 16 piece setting arrived with two dinner plates scratched.  I think next time Ill order them as individual place settings as they werent packed well.  Amazon will give me a 20% discount for keeping them.,T. Serefko,100,4,1
7,B0007IQQUI:perfect_for_the_reckless_consumer:simplyjules,Keurig B50 Gourmet Single-Cup Brewing System: Kitchen & Housewares,PERFECT FOR THE RECKLESS CONSUMER,"We had this machine at work and made maybe 6 cups a day on a busy day. Within a month the machine broke - Keurig did replace it right away but then the second broke as well (a co worker bought one for his home and had the same problem!!). they gave us an upgrade on the model and this one is still going. The Coffee was good but the tea was not. Most importantly people is IT IS WASTEFUL. WITH LITTLE PLASTIC CUPS FILLING UP THE GARBAGE, AND IN OUR CASE TWO MACHINES IN THE DUMP. COME ON PEOPLE LETS HAVE SOME CONSCIOUS COMSUMERISM AND SLOW DOWN. What ever happened to putting the coffee in a paper filter and pouring hot water over it and letting the fragrance wrap around you. If you are that busy and needy for coffee instantly maybe you should be looking at the job ads or self help books and not over priced hunks of wasteful plastic for greedy americans",SimplyJules,7,1,0
8,B0009VCBKM:best_sheets_ever:r._lamury_cameron1209,"1200-Thread-Count 100% Cotton Sateen King Sheet Sets, Ivory: Kitchen  Housewares",Best Sheets EVER,"They were a little stiff when first opened, but that is to be expected.  After just two washings with fabric softener and a couple extra dryer sheets, I fell in love with them.  I am now so protective of my sheets, not allowing my husband or children anywhere near them with dirty hands or food!  I am going to get an extra set just in case something happens to this set.  I would highly recommend buying these and I am very picky",R. Lamury cameron1209,100,5,1
9,"B0000CFG5F:nice_concept,_but_doesn't_measure_up...:ojh333",Chef's Planet 30-Inch Nonstick Oven Liner: Kitchen & Housewares,"Nice concept, but doesn't measure up...","I was really excited to get the aluminum foil out of the bottom of my oven when I found this product, however, it didn't last very long.

After less than two months use in my gas oven, this liner turned white and brittle because the non-stick surface had baked off!  I have never baked above 425 degrees, so the claims that it will withstand 550 degrees are outlandish.  Don't waste your money",ojh333,87,1,0
10,B00004RDF0:not_the_best_at_all:cooking_fool,Musso 4080 Lussino Dessert Maker: Kitchen & Housewares,Not The Best At All,"I have been making ice cream in a Cuisinart machine for years but I wanted to regain my freezer space from the 2 canisters I had to keep ready.. I also wanted to make good gelato since I can't go to Italy all the time. I had first bought the Lussino 4080 by Musso. It was terrible. Too soft right out of the machine and full of ice crystals when put in the freezer for any amount of time. It didn't get firm, it became a rock. I returned it and got the Lello Gelato Pro instead.  It is quieter, has a washable bowl, costs about half the money, weighs much less and makes 2 quarts rather than 1&1/2 quarts. There is no contest. The Lello is the superior machine",Cooking Fool,72,1,0
11,B000CDPN70:poor_quality:joseph_m._cooper,"Pem America 6-Piece Jacquard Towel Set, Peach: Kitchen & Housewares",Poor Quality,Ugly and Cheap looking  Wife hated them  now using as rags to wash the ca,Joseph M. Cooper,100,1,0
12,B000HZYL44:more_beautiful_than_pictured...these_are_ultra_corelle!!!:a._connor,"Corelle Square Rivage 16-Piece Dinnerware Set, Service for 4: Kitchen  Housewares",More beautiful than pictured...these are ULTRA Corelle!!!,"This listing fails to mention that these dishes are from the Ultra line which are significantly thicker and heavier than just the normal square dishes Corelle has recently released.  This is fabulous because I was concerned that the old Corelle I remember is a bit thin. These carry a 5-year warranty vs. the regular 3-yr.

This pattern is more beautiful in person; the leaves have a great texture to them. The pattern is softer and less limey in person (in a good way). Dont shy away from Corelle because they arent known for style (I almost did). The durability and beauty of these dishes are unmatched in my opinion.  Purchased two sets for special occassion dinners and everyday use",A. Connor,100,5,1
13,B0002IES80:great_ice_cream_maker:b._j._johnson,KitchenAid KICA0WH Ice Cream Maker Attachment: Kitchen & Housewares,Great Ice Cream Maker,"This ice cream Maker is ""GREAT"".  The fact that I can use an industrial motor (my kitchen Aid mixer) is fantastic.  It is my belief that the ice cream maker itself is as near perfect as you can get, contrary to other reviews.  If you read the description and instructions, you will find that it is not the biggest maker on the market AND that it does EXACTLY what it says it will...IT MAKES ""GREAT"" ICE CREAM.",B. J. Johnson,91,5,1
14,"B00004SZ7M:exploding_pyrex:chef_sawyer_""chef_sawyer""",Pyrex 3-Quart Oblong Glass Baking/Serving Dish: Kitchen & Housewares,Exploding Pyrex,"I have been a chef now for seven years and have not ever had a problem with pyrex.  Until now.  Last night while roasting some potatoes in a 400F oven, my pyrex dish exploded.  It rained glass all over the inside of my oven.  It was a disaster.  I am just thankful that nothing happened to me or my two year old who was in the room at that time.  This sounds like a REAL PROBLEM!","Chef Sawyer ""Chef Sawyer""",80,1,0
15,"B0007QA0F2:hard_to_rate:doctor_steven_""dseg""",Chicago Cutlery Insignia 2-Piece Asian Set: Kitchen & Housewares,Hard to rate,"This item was ordered 1/4/06 it is now 2/25/06 and has not yet been shipped. Hard to rate the item, but for sure you can see the rating for delivery","Doctor Steven ""dseg""",0,1,0
16,B00004RDFH:not_bad:l._m._slavick,Progressive International Vegetable/French Fry Cutter: Kitchen  Housewares,Not bad,"This fry cutter is good if you have a small potato and want some fries...otherwise you will need to cut your potato first. Also, it takes a bit of effort to use",L. M. Slavick,100,4,1
17,"B00004R946:disappointed:twila_chee_""twila""",Farberware FCP280 8-Cup Percolator: Kitchen & Housewares,Disappointed,Very noisy and takes too long to brew.  Boxed it up to return but I misplaced the packing slip.  Will keep using mom's very old Corelle electric percolator,"Twila Chee ""Twila""",100,2,0
18,B00004OCIW:i_love_oxo_products_but_this_was_a_huge_disappointment!:rj,OXO Good Grips Trigger Ice Cream Scoop: Kitchen & Housewares,I love OXO products but this was a huge disappointment!,Mine broke on the 3rd use!  No need to say anymore,RJ,100,1,0
19,B0000CFHBM:farberware_is_fabulous:paulette_c._wood,Farberware Millennium Soft Touch Stainless-Steel 12-Piece Cookware Set: Kitchen  Housewares,Farberware is Fabulous,I am really pleased with this purchase. This cookware far exceeded my expectations. Its heavyweight but not too heavy. I just love the cool touch handles. I would recommend this set very highly. If you cook alot like I do you will be more than happy with this set.,Paulette C. Wood,0,5,1
20,B00004RGAW:huge_disappointment!:b._himes,DeLonghi D895UX Cool Touch ROTO Electric Fryer: Kitchen & Housewares,Huge Disappointment!,"I received the Delonghi deep fryer on Friday evening and had it at the post office on Monday morning.  I did everything EXCEPT stand on my head to get it to make potato chips...smaller batches, larger batches, shorter cooking times, longer cooking times.  What I did get, consistantly, resembled more a potato cake which was soggy in the middle.  I bought a Waring Pro at William Sonoma for $40 more and had beautiful potatos Monday evening.  Bottom line...Delonghi may be a bit cheaper and a tad easier to clean, but I want good tasting food",B. Himes,70,1,0
21,B0006IVZ8W:good_then_poor:thomas_a._loeppke,MIU France 90757 Composite Mandoline Food Slicer: Kitchen & Housewares,Good then poor,"This was an excellent item...for about 3 uses...then the mandoline would not hold to one thickness...it keeps opening up to maximum cut depth.   MIU France says this is not their problem...""just buy a new one"".  With an attitude like that...and product failure so quickly.....yes, I will buy a different brand...and avoid MIU France product",Thomas A. Loeppke,100,1,0
