,uniq_id,rating
0,"B0009O5MWI:wow:b._hawkins_""willie""",5
1,B00008SCFU:rcarrier:ronald_r._carrier,5
2,"B00066I730:excellent_&_usable_smb_product:k._debias_""kd""",5
3,B000067VBM:they're_ok:nhopps,4
4,B00026KJ26:enough_memory:rafael_j._seoane,5
5,B000067VBM:fast_delivery_but_some_broken_tabs:betsy_sickbert,4
6,"B00008RW8B:speedy:jennifer_trenchard_""trenchardj""",5
7,"B00026KJ26:how_many_pictures_will_it_store?:brent_d._payne_""lyricvault_com""",5
8,"B00008RW8B:piece_of_crap_stopped_working_the_same_day:j._j._diaz_""jjd""",1
9,"B0001IXUEY:jack_of_all_trades,_master_of_some...:brian_woods_""starmiter""",4
10,B00009YUPS:don't_buy.__terrible_terrible_product:dr._marc_mayerson,1
11,"B00006IC4E:i_have_tried_a_dozen_holders;_this_is_the_best_one....:he_who_knows,_knows._""let_him_teach_you""",5
12,B00008SCFU:fast_and_accurate:j._n._fong,5
13,B000093IRC:coasters!:cool_jeff,1
14,B00006HYUB:good_product:s._reiss,5
15,B000067VBM:joe_barone_big_buyer:joseph_barone,1
16,"B00008RW8B:waste_of_time:m._tyler_""aficionado""",1
17,B00008RW8B:great.:willow_moon_pearce,5
18,B000067VBM:cheap_&_wellbuilt:a._schulman,4
19,B00008RW8B:lexar_media_2.0_doesn't_deliver!:joann_dovgin,1
20,B00026KJ26:compatible?:cheryl_l._schmid,2
21,"B000067VBM:very_good:irina_camp_""wwe_is_the_best_of_the_best!""",5
22,"B000234UFG:very_good_to_help_with_all_those_lost_spaces_on_the_outlets:gabriel_orozco_""gabo""",5
23,B00026KJ26:doesn't_work_with_sd_audio:astrid,2
24,B00005UKBG:nice_rack:charles_m._miller,4
25,B000AYUYAM:older_kid:gerald_i._crane,4
26,B00008SCFU:kingston_256_mb_sd_card:linda_tran,5
27,"B00006IC4E:great_stand!:j._sloan_""sloan8638""",5
28,B00006IC4E:great_book_holder:cherie,5
29,B000234UFG:good_design:unhchabo,4
30,"B000AYUYAM:ipod_takes_another_blow:ipod_opposer_""dd""",5
31,B000093IRC:stay_away..._recent_quality_is_terrible:j._levin,1
32,"B00026KJ26:really_performs:kkrome25_""kkrome25""",5
33,B00006RZ1G:solid:g._white,4
34,"B00008SCFU:can't_beat_the_price:thomas_richard_kennedy_""tom""",5
35,"B00009YUPS:a_really_cool_device,_with_some_limitations:michael_the_city-dwelling_hermit",4
36,B00006HYUB:very_nice_source_of_backup_power_at_a_good_price:adnan_malik,5
37,B000093IRC:the_good_gone_bad:jadecat,2
38,"B00008SCFU:delivered_on_time_and_a_product_worth_its_value:syed_irtaza_ali_""irtaza""",4
39,B0009O5MWI:nice_but_noisy:stv_damazon,4
40,B0001IXUEY:good_boombox_overall:ketan_shah,4
41,B00006IC4E:nice_plastic_item.:v._stonys,5
42,B00005UKBG:use_your_imagination_and_the_price_can't_be_beat:http://savegutenberg.blogspot.com,4
43,"B00006IC4E:excellent!:janet_boyer_""janetboyer.com""",5
44,"B0001IXUEY:good_unit,_however_no_resume_on_cd,_rear_earphones!:daisy_s_""daisy_s""",4
45,"B000AYUYAM:not_usable_due_to_sonicstage:buyerlsd_""buyerlsd""",1
46,B00006RZ1G:good_controller_but...:joe,4
47,"B0009O5MWI:just_amazing_!!!!!____:ernest_o._kanu_""ernest""",4
48,B0001IXUEY:also_disappointed:baby_sister,2
49,B00009YUPS:amazingly_easy_and_dummy_proof:john_williams,5
50,B000093IRC:haven't_burned_a_coaster_yet:gamer_head,5
51,B00008RW8B:just_what_you_need!:nychen,5
52,B00026KJ26:i_like_it:alfy,5
53,"B0007P4G76:coming_apart_at_the_seams:c._saxton_""catsax""",2
54,B0009O5MWI:great_product:a._manezes,5
55,B0009O5MWI:hissing_is_a_bad_thing:shadoxfire,1
56,"B00006HYUB:nedessary_accessory_for_all_computer_users:alan_brody_""al""",5
57,"B0009O5MWI:awesome_value!!_highly_recommend!:s._tucker_""dance_freak""",5
58,B0001IXUEY:good_deal_overall:v._frenkel,4
59,"B0009O5MWI:great_player_at_a_reasonable_price:praveen_kumar_""praveen""",5
60,B00006IC4E:great_little_product!:jigga,5
61,B00008RW8B:buy_sandisk_instead:mrs_s.,1
62,B00006IC4E:book_stand:jasmine,5
63,B00005UKBG:pros_and_cons:brandon_kurtz,4
64,B00008RW8B:works_with_win98!:jjlash,4
65,"B00026KJ26:slooooooooow:matt_jones_""matomizer""",2
66,"B00006HYUB:correction_to_earlier_review:j._zimmerlin_""jimzim""",5
67,"B000093IRC:great_successess_with_no_problems:snowdog_""johnsrinx""",5
68,"B0001IXUEY:excellent_buy:judith_carson_""jc""",4
69,"B000AYUYAM:what_a_great_little_bean!!!:dale_borchelt_""italy_traveler""",5
70,B00008RW8B:excellent_and_portable_memory_card_reader:d-m-a,5
71,B0007P4G76:finally_got_rebate:heather,2
72,B00006HYUB:don't_risk_being_without_one!:theresa_l._smith,5
73,"B00006RZ1G:best_pc_joystick_in_the_market_now.:taswell_hargraves_""cybertaz""",5
74,"B0001IXUEY:not_a_good_product:vedura_""music_lover""",1
75,B000AYUYAM:sony_bean:dena_r._kinsey,5
76,"B00005UKBG:sturdy_with_form_and_function:griot_""chillib""",5
